url,title,genre,Release Date,tags,total_reviews,positive_reviews,negative_reviews,price
https://store.steampowered.com/app/821890/Steven_Universe_Save_the_Light/,Steven Universe: Save the Light,"['Action', ' Adventure', ' Indie', ' RPG']","13 Aug, 2018","['Adventure', 'RPG', 'Action', 'Indie', 'Cartoon', 'Cute', 'Great Soundtrack', 'Family Friendly', 'Colorful', 'Turn-Based Combat', 'Singleplayer', 'Turn-Based', 'LGBTQ+', '2D', 'Open World', 'Fantasy', 'Story Rich', 'Strategy']",943,863,80,569
https://store.steampowered.com/app/61730/Critter_Crunch/,Critter Crunch,"['Action', ' Casual', ' Indie']","11 Sep, 2012","['Indie', 'Casual', 'Puzzle', 'Action', 'Cute', 'Family Friendly', 'Local Co-Op', 'Nature', 'Multiplayer', '2D', 'Cartoony', 'Match 3', 'Local Multiplayer', 'Online Co-Op', 'Singleplayer', 'Arcade', 'Horror', 'Co-op', 'Strategy', 'Point & Click']",308,291,17,259
https://store.steampowered.com/app/923810/If_My_Heart_Had_Wings_Flight_Diary/,If My Heart Had Wings -Flight Diary-,"['Adventure', ' Casual', ' Simulation']","27 Feb, 2019","['Visual Novel', 'Sexual Content', 'Anime', 'Casual', 'Adventure', 'Nudity', 'Simulation', 'Romance', 'Dating Sim', 'Story Rich']",421,400,21,459
https://store.steampowered.com/app/1348160/Turn_on_the_light/,Turn on the light,"['Casual', ' Indie']","7 Jul, 2020","['Casual', 'Puzzle', 'Minimalist', '2D', 'Relaxing', 'Education', 'Abstract', 'Atmospheric', 'Family Friendly', 'Logic', 'Singleplayer', 'Experimental', 'Indie', 'Electronic', 'Addictive']",129,126,3,42
https://store.steampowered.com/app/770110/Twilight_Path/,Twilight Path,"['Adventure', ' Casual', ' Indie']","2 Oct, 2018","['Adventure', 'Indie', 'Casual', 'VR', 'Puzzle', 'Fantasy', 'Atmospheric', 'Singleplayer', 'Family Friendly', 'Beautiful', 'Story Rich', 'Great Soundtrack', 'First-Person', 'Magic', 'Relaxing']",139,117,22,459
https://store.steampowered.com/app/211010/Alien_Shooter_2_Conscription/,Alien Shooter 2 Conscription,"['Action', ' Indie', ' RPG']","18 May, 2012","['Action', 'Indie', 'RPG', 'Shooter', 'Singleplayer', 'Top-Down Shooter', 'Aliens', 'Gore', 'Isometric']",442,366,76,349
https://store.steampowered.com/app/1123770/Curse_of_the_Dead_Gods/,Curse of the Dead Gods,"['Action', ' Adventure']","23 Feb, 2021","['Action Roguelike', 'Dark Fantasy', 'Isometric', 'Action', 'Difficult', 'Fighting', 'Roguelite', 'Souls-like', 'Roguelike', 'Adventure', 'Dungeon Crawler', 'Singleplayer', 'Indie', 'Real-Time', 'Exploration', 'Great Soundtrack', '3D', 'Fantasy', 'Cartoony', 'Horror']",5478,4782,696,799
https://store.steampowered.com/app/1574580/Strange_Horticulture/,Strange Horticulture,"['Adventure', ' Simulation']","21 Jan, 2022","['Mystery', 'Exploration', 'Puzzle', 'Investigation', 'Nature', 'Relaxing', '2D', 'Detective', 'Choices Matter', 'Multiple Endings', 'Story Rich', 'Simulation', 'Lovecraftian', 'Atmospheric', 'Adventure', 'Dark', 'Conversation', 'Point & Click', 'Alternate History', 'Colorful']",2539,2436,103,459
https://store.steampowered.com/app/811870/Verlet_Swing/,Verlet Swing,"['Action', ' Indie']","18 Sep, 2018","['Indie', 'Action', '3D Platformer', 'Fast-Paced', 'Level Editor', 'Great Soundtrack', 'Surreal', 'First-Person', 'Platformer', '1980s', 'Retro']",549,492,57,450
https://store.steampowered.com/app/1378360/White_Hell/,White Hell,"['Action', ' Adventure', ' Indie', ' Early Access']","12 Aug, 2021","['Early Access', 'Action', 'FPS', 'Shooter', 'Post-apocalyptic', 'First-Person', 'Retro', '3D', ""1990's"", 'Snow', 'Pixel Graphics', 'Stylized', 'Cyberpunk', 'Dark Humor', 'Dystopian ', 'Fantasy', 'Magic', 'Mythology', 'Old School', 'Parody ']",114,110,4,459
https://store.steampowered.com/app/44690/GT_Legends/,GT Legends,"['Racing', ' Simulation', ' Sports']","26 Sep, 2005","['Racing', 'Simulation', 'Automobile Sim', 'Sports', 'Multiplayer', 'Driving', 'Singleplayer']",281,252,29,299
https://store.steampowered.com/app/1585540/SnowSwept_Quest/,Snow-Swept Quest,"['Adventure', ' Indie', ' RPG']","30 Apr, 2021","['Adventure', 'RPG', 'Anime', 'JRPG', 'Sexual Content', 'Singleplayer', 'RPGMaker', 'Indie', 'Nudity', 'Hentai', 'Female Protagonist', 'NSFW']",236,210,26,349
https://store.steampowered.com/app/281610/Homeworld_Deserts_of_Kharak/,Homeworld: Deserts of Kharak,['Strategy'],"20 Jan, 2016","['Strategy', 'RTS', 'Sci-fi', 'Multiplayer', 'Story Rich', 'Great Soundtrack', 'Space', 'Female Protagonist', 'Atmospheric', 'Singleplayer', 'Action', 'Futuristic', 'Real-Time', 'Co-op', 'Tactical', 'Adventure', 'First-Person']",6297,5216,1081,989
https://store.steampowered.com/app/388970/iZBOT/,iZBOT,"['Action', ' Indie']","1 Sep, 2015","['Precision Platformer', 'Platformer', 'Difficult', 'Pixel Graphics', '2D', 'Singleplayer', 'Action', '2D Platformer', 'Side Scroller', 'Fast-Paced', 'Time Attack', 'Controller', 'Short', 'Sci-fi', 'Robots', 'Unforgiving', 'GameMaker', 'Retro', 'Casual', 'Arcade']",239,199,40,779
https://store.steampowered.com/app/760640/Tennis_Elbow_4/,Tennis Elbow 4,"['Indie', ' Simulation', ' Sports', ' Early Access']","4 Jun, 2021","['Simulation', 'Sports', 'Indie', 'Tennis', 'Realistic', 'PvP', 'Co-op', 'Local Co-Op', 'Online Co-Op', 'Multiplayer', 'Singleplayer', 'Early Access', '3D', 'Local Multiplayer', 'Split Screen', '4 Player Local', 'Short']",175,158,17,999
https://store.steampowered.com/app/1005930/Timeflow__Time__Money_Sim/,Timeflow – Time & Money Sim,"['Indie', ' RPG', ' Simulation', ' Strategy', ' Early Access']","1 Jan, 2019","['Time Management', 'Life Sim', 'Education', 'Sandbox', 'RPG', 'Turn-Based Strategy', 'Character Customization', 'Strategy', '2D', 'Isometric', 'Text-Based', 'Choices Matter', 'Resource Management', 'Capitalism', 'Economy', 'Indie', 'Tabletop', 'Board Game', 'Simulation', 'Early Access']",1270,1193,77,119
https://store.steampowered.com/app/803830/The_Snowboard_Game/,The Snowboard Game,"['Action', ' Indie', ' Simulation', ' Sports']","24 Apr, 2018","['Sports', 'Action', 'Indie', 'Snow', 'Snowboarding', 'Simulation', 'Racing', 'Multiplayer']",295,248,47,459
https://store.steampowered.com/app/618510/Battle_Bruise/,Battle Bruise,"['Action', ' Indie']","22 Apr, 2017","['Indie', 'Action', 'Zombies', ""Shoot 'Em Up"", 'Arcade', 'Female Protagonist']",403,367,36,42
https://store.steampowered.com/app/1126420/REMOTE_LIFE/,REMOTE LIFE,"['Action', ' Indie']","4 Oct, 2019","[""Shoot 'Em Up"", 'Bullet Hell', 'Indie', 'Action', 'Space', 'Horror', 'Shooter', 'Arcade', '2D', 'Aliens', 'Retro', '2D Fighter', 'Side Scroller', 'Dungeon Crawler', 'Sci-fi', 'Singleplayer', 'Steam Machine', 'Online Co-Op']",204,187,17,519
https://store.steampowered.com/app/363420/Leap_of_Fate/,Leap of Fate,"['Action', ' Indie']","30 Mar, 2016","['Action Roguelike', 'Cyberpunk', 'Action', 'Indie', 'Roguelike', 'Difficult', 'Roguelite', 'Hack and Slash', 'Twin Stick Shooter', 'Great Soundtrack', 'Isometric']",427,378,49,519
https://store.steampowered.com/app/99300/Renegade_Ops/,Renegade Ops,['Action'],"26 Oct, 2011","['Action', 'Twin Stick Shooter', 'Arcade', 'Top-Down', 'Local Co-Op', 'Co-op', 'Online Co-Op', ""Shoot 'Em Up"", 'Split Screen', 'Local Multiplayer', 'Racing', 'Shooter', 'Top-Down Shooter', 'Controller', 'Multiplayer', 'Singleplayer']",2510,2140,370,479
https://store.steampowered.com/app/284710/Abyss_The_Wraiths_of_Eden/,Abyss: The Wraiths of Eden,"['Adventure', ' Casual']","29 Oct, 2012","['Hidden Object', 'Casual', 'Adventure', 'Point & Click', 'Puzzle', 'Female Protagonist', 'Horror', 'Mystery', 'Underwater', 'Singleplayer', 'Atmospheric', 'Indie', 'Story Rich', 'Fantasy', '2D', 'Family Friendly', 'Great Soundtrack']",1290,1168,122,369
https://store.steampowered.com/app/502500/ACE_COMBAT_7_SKIES_UNKNOWN/,ACE COMBAT™ 7: SKIES UNKNOWN,"['Action', ' Simulation']","31 Jan, 2019","['Flight', 'Jet', 'Military', 'War', 'Shooter', 'Arcade', 'Cinematic', 'PvP', 'Simulation', 'First-Person', '3D', 'Third Person', 'Story Rich', 'Action', 'Multiplayer', 'Realistic', 'Great Soundtrack', 'Silent Protagonist', 'Sci-fi', 'Singleplayer']",25144,21666,3478,2
https://store.steampowered.com/app/606800/Startup_Company/,Startup Company,"['Casual', ' Indie', ' Simulation', ' Strategy']","10 Apr, 2020","['Management', 'Simulation', 'Strategy', 'Economy', 'Indie', 'Casual', 'Sandbox', 'Building', 'Singleplayer', 'Early Access', 'Crafting', 'Moddable', 'Real-Time with Pause', 'Isometric', 'Resource Management', 'Family Friendly', 'Clicker', 'Great Soundtrack', 'Base Building', 'Multiplayer']",5415,4404,1011,419
https://store.steampowered.com/app/1274490/Green_Project/,Green Project,"['Indie', ' Simulation']","16 May, 2020","['Indie', 'Simulation', 'Survival', 'Post-apocalyptic', 'Farming Sim', 'Pixel Graphics', 'Dark Comedy', '2D', 'Crafting', 'Singleplayer']",1021,868,153,219
https://store.steampowered.com/app/621930/Attack_of_the_Earthlings/,Attack of the Earthlings,"['Indie', ' Strategy']","8 Feb, 2018","['Strategy', 'Indie', 'Turn-Based Strategy', 'Dark Humor', 'Comedy', 'Sci-fi', 'Dark Comedy', 'Singleplayer', 'Aliens', 'Gore', 'Story Rich', 'Great Soundtrack', 'Turn-Based Tactics', 'Villain Protagonist', 'Turn-Based']",316,270,46,529
https://store.steampowered.com/app/1059880/Devious_Dungeon/,Devious Dungeon,"['Action', ' Adventure', ' Casual', ' Indie', ' RPG']","16 Aug, 2019","['Action Roguelike', '2D Platformer', 'Dungeon Crawler', 'Difficult', 'Platformer', 'Arcade', 'Action RPG', 'Roguelike', 'RPG', '2D', 'Procedural Generation', 'Action', 'Pixel Graphics', 'Dark Fantasy', 'Fantasy', 'Atmospheric', 'Retro', 'Singleplayer', 'Indie', 'Replay Value']",353,295,58,199
https://store.steampowered.com/app/745850/KARAKARA2/,KARAKARA2,"['Casual', ' Indie']","10 Nov, 2017","['Sexual Content', 'Visual Novel', 'Nudity', 'Casual', 'Anime', 'Indie', 'Cute', 'Short', 'Mystery', 'Post-apocalyptic', 'Mature']",586,554,32,349
https://store.steampowered.com/app/708720/Gridiron/,Gridiron,"['Action', ' Free to Play', ' Sports', ' Early Access']","23 Jul, 2020","['Early Access', 'Sports', 'Arena Shooter', 'PvP', 'FPS', 'Football', 'Hero Shooter', 'Multiplayer', 'Competitive', 'eSports', 'Shooter', 'Third Person', 'First-Person', 'Free to Play', '3D', 'Cyberpunk', 'Team-Based', 'Action', 'Sci-fi', 'Online Co-Op']",1925,1584,341,Free
https://store.steampowered.com/app/342300/Zombie_Kill_of_the_Week__Reborn/,Zombie Kill of the Week - Reborn,"['Action', ' Indie']","13 Mar, 2015","['Action', 'Zombies', 'Indie', '2D', 'Pixel Graphics', 'Multiplayer', 'Platformer', 'Side Scroller', 'Shooter']",938,854,84,319
https://store.steampowered.com/app/416600/Full_Metal_Furies/,Full Metal Furies,"['Action', ' Adventure', ' Indie', ' RPG']","17 Jan, 2018","['Action', 'Co-op', 'Indie', 'RPG', 'Adventure', ""Beat 'em up"", 'Female Protagonist', 'Local Co-Op', '4 Player Local', 'Online Co-Op', 'Pixel Graphics', 'Puzzle', 'Action RPG', '2D', 'Local Multiplayer', 'Difficult', 'Side Scroller', 'Bullet Hell', 'Funny', 'Multiplayer']",2345,2146,199,529
https://store.steampowered.com/app/512060/Stay_Stay_Democratic_Peoples_Republic_of_Korea/,Stay! Stay! Democratic People's Republic of Korea!,"['Adventure', ' Indie', ' RPG']","11 May, 2017","['Memes', 'Anime', 'Visual Novel', 'Nudity', 'Sexual Content', 'Psychological Horror', 'Indie', 'Adventure', 'Dating Sim', 'RPG', 'Story Rich', 'Parody ', 'Gore', 'Horror', 'Comedy', 'Mature']",555,520,35,369
https://store.steampowered.com/app/678970/Modern_Tales_Age_of_Invention/,Modern Tales: Age of Invention,"['Adventure', ' Casual']","19 Oct, 2017","['Adventure', 'Casual', 'Hidden Object', 'Point & Click', 'Female Protagonist', 'Family Friendly', '2D', 'Puzzle', 'Singleplayer', 'Mystery', 'Indie', 'Atmospheric', 'Story Rich', 'Great Soundtrack', 'Fantasy', 'Steampunk', 'Steam Machine', 'Visual Novel', 'Horror', 'Relaxing']",203,184,19,369
https://store.steampowered.com/app/435100/2Dark/,2Dark,"['Adventure', ' Indie']","10 Mar, 2017","['Indie', 'Horror', 'Stealth', 'Survival Horror', 'Strategy', 'Puzzle', 'Action', 'Top-Down', 'Psychological Horror', 'Exploration', 'Singleplayer', 'Psychedelic', 'Stylized', '2D', 'Isometric', 'Third Person', 'Voxel', 'Pixel Graphics', 'Adventure', 'Dark']",503,383,120,1
https://store.steampowered.com/app/547340/LoveKami_Divinity_Stage/,LoveKami -Divinity Stage-,"['Adventure', ' Casual', ' Simulation']","15 Dec, 2016","['Sexual Content', 'Nudity', 'Anime', 'Dating Sim', 'Visual Novel', 'Adventure', 'Casual', 'Mature', 'Simulation', 'Singleplayer', 'Cute', 'Hentai', 'NSFW', 'Illuminati', 'Atmospheric', 'Female Protagonist', 'Choose Your Own Adventure', '2D', 'Colorful', 'Text-Based']",542,446,96,439
